product_name,category,price,offer,allergens,diet_labels,stock_status,customer_rating,Keto,Gluten-Free,Low Sugar,Vegan,None,Eggs,Milk,Nuts,Wheat,Soy,No-Allergens,rating_category,category_encoded,offer_encoded,stock_status_encoded,rating_encoded
Product_19,Personal Care,5.71,$2 off,No-Allergens,Vegan,In Stock,2.8,0,0,0,1,0,0,0,0,0,0,1,Poor,6,0,0,3
Product_20,Bakery,13.16,Buy 1 Get 1,No-Allergens,None,Low Stock,3.4,0,0,0,0,1,0,0,0,0,0,1,Average,0,2,1,0
Product_21,Bakery,23.24,Clearance,No-Allergens,Keto,Low Stock,3.0,1,0,0,0,0,0,0,0,0,0,1,Poor,0,3,1,3
Product_22,Frozen Foods,14.9,$2 off,No-Allergens,None,In Stock,2.8,0,0,0,0,1,0,0,0,0,0,1,Poor,3,0,0,3
Product_23,Bakery,24.41,Clearance,No-Allergens,Keto,In Stock,4.2,1,0,0,0,0,0,0,0,0,0,1,Good,0,3,0,2
Product_24,Beverages,4.52,$2 off,No-Allergens,Keto,In Stock,4.1,1,0,0,0,0,0,0,0,0,0,1,Good,1,0,0,2
Product_25,Pantry,16.2,$2 off,No-Allergens,None,In Stock,3.8,0,0,0,0,1,0,0,0,0,0,1,Good,5,0,0,2
Product_26,Snacks,3.91,10% off,"Soy, Nuts",None,In Stock,3.6,0,0,0,0,1,0,0,1,0,1,0,Average,9,1,0,0
Product_27,Dairy,19.85,10% off,No-Allergens,None,In Stock,5.0,0,0,0,0,1,0,0,0,0,0,1,Excellent,2,1,0,1
Product_28,Meat,12.15,No-Offer,No-Allergens,None,Low Stock,4.5,0,0,0,0,1,0,0,0,0,0,1,Very Good,4,4,1,4
Product_29,Produce,10.31,$2 off,No-Allergens,None,In Stock,3.9,0,0,0,0,1,0,0,0,0,0,1,Good,7,0,0,2
Product_30,Personal Care,18.5,10% off,No-Allergens,None,Low Stock,3.4,0,0,0,0,1,0,0,0,0,0,1,Average,6,1,1,0
Product_31,Beverages,1.4,$2 off,"Soy, Milk","Vegan, Keto",In Stock,4.8,1,0,0,1,0,0,1,0,0,1,0,Excellent,1,0,0,1
Product_32,Produce,3.26,Buy 1 Get 1,"Milk, Wheat",None,Out of Stock,3.4,0,0,0,0,1,0,1,0,1,0,0,Average,7,2,2,0
Product_33,Produce,9.58,10% off,No-Allergens,None,In Stock,2.9,0,0,0,0,1,0,0,0,0,0,1,Poor,7,1,0,3
Product_34,Pantry,18.26,10% off,"Eggs, None",None,Low Stock,2.8,0,0,0,0,1,1,0,0,0,0,0,Poor,5,1,1,3
Product_35,Seafood,17.01,Buy 1 Get 1,No-Allergens,None,In Stock,3.5,0,0,0,0,1,0,0,0,0,0,1,Average,8,2,0,0
Product_36,Dairy,21.47,10% off,Soy,Low Sugar,In Stock,2.6,0,0,1,0,0,0,0,0,0,1,0,Poor,2,1,0,3
Product_37,Snacks,11.69,10% off,No-Allergens,Keto,Low Stock,4.8,1,0,0,0,0,0,0,0,0,0,1,Excellent,9,1,1,1
Product_38,Seafood,1.8,$2 off,"Nuts, None",None,Low Stock,3.5,0,0,0,0,1,0,0,1,0,0,0,Average,8,0,1,0
Product_39,Pantry,16.17,No-Offer,No-Allergens,None,In Stock,3.5,0,0,0,0,1,0,0,0,0,0,1,Average,5,4,0,0
Product_40,Produce,10.21,10% off,No-Allergens,"Low Sugar, None",In Stock,4.8,0,0,1,0,1,0,0,0,0,0,1,Excellent,7,1,0,1
Product_41,Beverages,20.17,Clearance,No-Allergens,"None, Vegan",In Stock,4.5,0,0,0,1,1,0,0,0,0,0,1,Very Good,1,3,0,4
Product_42,Frozen Foods,23.82,Clearance,"Wheat, Eggs",None,In Stock,4.8,0,0,0,0,1,1,0,0,1,0,0,Excellent,3,3,0,1
Product_43,Personal Care,16.96,Buy 1 Get 1,No-Allergens,None,Low Stock,2.7,0,0,0,0,1,0,0,0,0,0,1,Poor,6,2,1,3
Product_44,Dairy,23.75,Buy 1 Get 1,No-Allergens,None,In Stock,3.8,0,0,0,0,1,0,0,0,0,0,1,Good,2,2,0,2
Product_45,Bakery,14.12,Clearance,No-Allergens,None,In Stock,3.3,0,0,0,0,1,0,0,0,0,0,1,Average,0,3,0,0
Product_46,Frozen Foods,22.67,$2 off,Soy,None,In Stock,4.5,0,0,0,0,1,0,0,0,0,1,0,Very Good,3,0,0,4
Product_47,Snacks,20.77,Buy 1 Get 1,No-Allergens,None,In Stock,3.3,0,0,0,0,1,0,0,0,0,0,1,Average,9,2,0,0
Product_48,Bakery,22.53,No-Offer,"Nuts, Milk",None,In Stock,4.3,0,0,0,0,1,0,1,1,0,0,0,Very Good,0,4,0,4
Product_49,Snacks,16.24,$2 off,No-Allergens,None,In Stock,3.1,0,0,0,0,1,0,0,0,0,0,1,Average,9,0,0,0
Product_50,Frozen Foods,21.9,$2 off,No-Allergens,None,In Stock,4.1,0,0,0,0,1,0,0,0,0,0,1,Good,3,0,0,2
Product_51,Beverages,5.65,Buy 1 Get 1,No-Allergens,None,In Stock,2.7,0,0,0,0,1,0,0,0,0,0,1,Poor,1,2,0,3
Product_52,Dairy,8.67,10% off,"Wheat, Soy",None,In Stock,4.0,0,0,0,0,1,0,0,0,1,1,0,Good,2,1,0,2
Product_53,Personal Care,17.47,Buy 1 Get 1,No-Allergens,None,Out of Stock,4.2,0,0,0,0,1,0,0,0,0,0,1,Good,6,2,2,2
Product_54,Produce,12.15,Buy 1 Get 1,No-Allergens,None,Out of Stock,4.5,0,0,0,0,1,0,0,0,0,0,1,Very Good,7,2,2,4
Product_55,Pantry,2.0,Clearance,No-Allergens,None,Low Stock,3.9,0,0,0,0,1,0,0,0,0,0,1,Good,5,3,1,2
Product_56,Personal Care,19.51,10% off,No-Allergens,None,In Stock,5.0,0,0,0,0,1,0,0,0,0,0,1,Excellent,6,1,0,1
Product_57,Pantry,21.07,Clearance,No-Allergens,Vegan,In Stock,2.6,0,0,0,1,0,0,0,0,0,0,1,Poor,5,3,0,3
Product_58,Frozen Foods,7.34,10% off,No-Allergens,None,In Stock,3.2,0,0,0,0,1,0,0,0,0,0,1,Average,3,1,0,0
Product_59,Bakery,22.01,10% off,"Milk, None",None,In Stock,4.5,0,0,0,0,1,0,1,0,0,0,0,Very Good,0,1,0,4
Product_60,Produce,15.32,$2 off,No-Allergens,None,In Stock,2.5,0,0,0,0,1,0,0,0,0,0,1,Poor,7,0,0,3
Product_61,Pantry,13.87,10% off,Eggs,None,In Stock,3.6,0,0,0,0,1,1,0,0,0,0,0,Average,5,1,0,0
Product_62,Seafood,22.11,Buy 1 Get 1,"Eggs, None",None,Low Stock,2.9,0,0,0,0,1,1,0,0,0,0,0,Poor,8,2,1,3
Product_63,Bakery,20.83,Buy 1 Get 1,No-Allergens,None,In Stock,2.9,0,0,0,0,1,0,0,0,0,0,1,Poor,0,2,0,3
Product_64,Produce,13.72,Clearance,No-Allergens,None,In Stock,4.5,0,0,0,0,1,0,0,0,0,0,1,Very Good,7,3,0,4
Product_65,Dairy,20.81,No-Offer,"None, Nuts","Keto, Gluten-Free",In Stock,2.6,1,1,0,0,0,0,0,1,0,0,0,Poor,2,4,0,3
Product_66,Pantry,17.04,No-Offer,"Eggs, Milk",None,In Stock,4.6,0,0,0,0,1,1,1,0,0,0,0,Very Good,5,4,0,4
Product_67,Produce,24.17,Buy 1 Get 1,No-Allergens,None,Low Stock,4.7,0,0,0,0,1,0,0,0,0,0,1,Excellent,7,2,1,1
Product_68,Pantry,9.25,$2 off,No-Allergens,None,In Stock,4.8,0,0,0,0,1,0,0,0,0,0,1,Excellent,5,0,0,1
Product_69,Beverages,13.0,No-Offer,No-Allergens,None,Low Stock,4.6,0,0,0,0,1,0,0,0,0,0,1,Very Good,1,4,1,4
Product_70,Seafood,23.89,No-Offer,No-Allergens,None,Low Stock,4.5,0,0,0,0,1,0,0,0,0,0,1,Very Good,8,4,1,4
Product_71,Dairy,18.97,10% off,Nuts,"None, Low Sugar",Low Stock,4.8,0,0,1,0,1,0,0,1,0,0,0,Excellent,2,1,1,1
Product_72,Seafood,23.75,No-Offer,No-Allergens,None,In Stock,3.5,0,0,0,0,1,0,0,0,0,0,1,Average,8,4,0,0
Product_73,Snacks,11.55,No-Offer,Milk,None,Low Stock,2.8,0,0,0,0,1,0,1,0,0,0,0,Poor,9,4,1,3
Product_74,Meat,18.64,$2 off,No-Allergens,None,Low Stock,3.3,0,0,0,0,1,0,0,0,0,0,1,Average,4,0,1,0
Product_75,Pantry,2.19,Buy 1 Get 1,No-Allergens,None,Low Stock,4.0,0,0,0,0,1,0,0,0,0,0,1,Good,5,2,1,2
Product_76,Meat,10.09,$2 off,"Nuts, None",None,In Stock,3.6,0,0,0,0,1,0,0,1,0,0,0,Average,4,0,0,0
Product_77,Meat,8.48,No-Offer,"Nuts, None",Keto,In Stock,4.2,1,0,0,0,0,0,0,1,0,0,0,Good,4,4,0,2
Product_78,Personal Care,17.68,10% off,"Nuts, None",Gluten-Free,Out of Stock,2.6,0,1,0,0,0,0,0,1,0,0,0,Poor,6,1,2,3
Product_79,Personal Care,19.47,Clearance,No-Allergens,None,In Stock,4.1,0,0,0,0,1,0,0,0,0,0,1,Good,6,3,0,2
Product_80,Bakery,12.4,Buy 1 Get 1,No-Allergens,None,In Stock,4.6,0,0,0,0,1,0,0,0,0,0,1,Very Good,0,2,0,4
Product_81,Pantry,17.77,Clearance,No-Allergens,Keto,Low Stock,4.9,1,0,0,0,0,0,0,0,0,0,1,Excellent,5,3,1,1
Product_82,Seafood,13.48,$2 off,Soy,None,In Stock,3.3,0,0,0,0,1,0,0,0,0,1,0,Average,8,0,0,0
Product_83,Meat,22.04,Buy 1 Get 1,No-Allergens,None,In Stock,3.8,0,0,0,0,1,0,0,0,0,0,1,Good,4,2,0,2
Product_84,Pantry,24.94,$2 off,"Milk, Wheat",None,In Stock,4.1,0,0,0,0,1,0,1,0,1,0,0,Good,5,0,0,2
Product_85,Dairy,20.18,No-Offer,No-Allergens,None,In Stock,4.9,0,0,0,0,1,0,0,0,0,0,1,Excellent,2,4,0,1
Product_86,Seafood,1.49,$2 off,"Nuts, Wheat",None,Low Stock,4.3,0,0,0,0,1,0,0,1,1,0,0,Very Good,8,0,1,4
Product_87,Dairy,3.56,$2 off,No-Allergens,None,In Stock,4.1,0,0,0,0,1,0,0,0,0,0,1,Good,2,0,0,2
Product_88,Beverages,16.36,10% off,Soy,None,In Stock,3.1,0,0,0,0,1,0,0,0,0,1,0,Average,1,1,0,0
Product_89,Frozen Foods,6.5,$2 off,Eggs,Gluten-Free,Out of Stock,3.5,0,1,0,0,0,1,0,0,0,0,0,Average,3,0,2,0
Product_90,Meat,22.85,10% off,No-Allergens,None,In Stock,3.7,0,0,0,0,1,0,0,0,0,0,1,Good,4,1,0,2
Product_91,Bakery,21.75,No-Offer,No-Allergens,Keto,In Stock,2.7,1,0,0,0,0,0,0,0,0,0,1,Poor,0,4,0,3
Product_92,Bakery,13.48,10% off,"Wheat, None",Low Sugar,In Stock,3.3,0,0,1,0,0,0,0,0,1,0,0,Average,0,1,0,0
Product_93,Beverages,23.35,10% off,No-Allergens,None,In Stock,4.2,0,0,0,0,1,0,0,0,0,0,1,Good,1,1,0,2
Product_94,Produce,5.7,Clearance,No-Allergens,None,In Stock,3.8,0,0,0,0,1,0,0,0,0,0,1,Good,7,3,0,2
Product_95,Personal Care,8.45,No-Offer,No-Allergens,None,In Stock,4.5,0,0,0,0,1,0,0,0,0,0,1,Very Good,6,4,0,4
Product_96,Seafood,8.45,10% off,No-Allergens,"Keto, Vegan",In Stock,4.6,1,0,0,1,0,0,0,0,0,0,1,Very Good,8,1,0,4
Product_97,Produce,23.8,Clearance,No-Allergens,None,In Stock,3.7,0,0,0,0,1,0,0,0,0,0,1,Good,7,3,0,2
Product_98,Meat,4.82,10% off,"Wheat, Milk",None,In Stock,4.3,0,0,0,0,1,0,1,0,1,0,0,Very Good,4,1,0,4
Product_99,Snacks,11.29,No-Offer,No-Allergens,Vegan,Out of Stock,3.3,0,0,0,1,0,0,0,0,0,0,1,Average,9,4,2,0
Product_100,Beverages,6.21,Buy 1 Get 1,No-Allergens,None,In Stock,3.7,0,0,0,0,1,0,0,0,0,0,1,Good,1,2,0,2
Product_101,Personal Care,7.61,No-Offer,No-Allergens,None,Out of Stock,3.7,0,0,0,0,1,0,0,0,0,0,1,Good,6,4,2,2
Product_102,Bakery,8.24,No-Offer,No-Allergens,None,In Stock,5.0,0,0,0,0,1,0,0,0,0,0,1,Excellent,0,4,0,1
Product_103,Personal Care,3.29,10% off,No-Allergens,None,Out of Stock,4.3,0,0,0,0,1,0,0,0,0,0,1,Very Good,6,1,2,4
Product_104,Beverages,19.19,Clearance,No-Allergens,Keto,In Stock,5.0,1,0,0,0,0,0,0,0,0,0,1,Excellent,1,3,0,1
Product_105,Snacks,2.76,Clearance,"Soy, None",None,In Stock,4.0,0,0,0,0,1,0,0,0,0,1,0,Good,9,3,0,2
Product_106,Seafood,3.55,No-Offer,No-Allergens,Low Sugar,Low Stock,3.4,0,0,1,0,0,0,0,0,0,0,1,Average,8,4,1,0
Product_107,Beverages,8.97,$2 off,No-Allergens,"Keto, None",In Stock,3.5,1,0,0,0,1,0,0,0,0,0,1,Average,1,0,0,0
Product_108,Personal Care,3.31,No-Offer,No-Allergens,Keto,In Stock,2.9,1,0,0,0,0,0,0,0,0,0,1,Poor,6,4,0,3
Product_109,Produce,16.46,$2 off,No-Allergens,None,In Stock,3.6,0,0,0,0,1,0,0,0,0,0,1,Average,7,0,0,0
Product_110,Meat,4.36,Clearance,No-Allergens,None,In Stock,3.4,0,0,0,0,1,0,0,0,0,0,1,Average,4,3,0,0
Product_111,Dairy,1.17,Clearance,Milk,None,In Stock,4.4,0,0,0,0,1,0,1,0,0,0,0,Very Good,2,3,0,4
Product_112,Meat,24.42,$2 off,No-Allergens,None,In Stock,3.6,0,0,0,0,1,0,0,0,0,0,1,Average,4,0,0,0
Product_113,Personal Care,17.02,Buy 1 Get 1,No-Allergens,None,In Stock,4.5,0,0,0,0,1,0,0,0,0,0,1,Very Good,6,2,0,4
Product_114,Dairy,10.49,Buy 1 Get 1,No-Allergens,None,In Stock,4.5,0,0,0,0,1,0,0,0,0,0,1,Very Good,2,2,0,4
Product_115,Bakery,12.57,$2 off,Eggs,None,In Stock,4.2,0,0,0,0,1,1,0,0,0,0,0,Good,0,0,0,2
Product_116,Personal Care,10.97,Buy 1 Get 1,No-Allergens,"Vegan, Gluten-Free",In Stock,3.5,0,1,0,1,0,0,0,0,0,0,1,Average,6,2,0,0
Product_117,Dairy,21.15,Clearance,"Soy, Milk",None,In Stock,3.2,0,0,0,0,1,0,1,0,0,1,0,Average,2,3,0,0
Product_118,Frozen Foods,23.45,Clearance,"Nuts, Milk",None,In Stock,3.9,0,0,0,0,1,0,1,1,0,0,0,Good,3,3,0,2
Product_119,Produce,11.62,Buy 1 Get 1,No-Allergens,None,In Stock,4.1,0,0,0,0,1,0,0,0,0,0,1,Good,7,2,0,2
Product_120,Beverages,5.33,Buy 1 Get 1,Milk,None,Low Stock,2.9,0,0,0,0,1,0,1,0,0,0,0,Poor,1,2,1,3
Product_121,Snacks,1.28,$2 off,No-Allergens,None,In Stock,4.5,0,0,0,0,1,0,0,0,0,0,1,Very Good,9,0,0,4
Product_122,Meat,12.19,$2 off,No-Allergens,None,Low Stock,2.8,0,0,0,0,1,0,0,0,0,0,1,Poor,4,0,1,3
Product_123,Snacks,9.81,Buy 1 Get 1,No-Allergens,None,Low Stock,4.3,0,0,0,0,1,0,0,0,0,0,1,Very Good,9,2,1,4
Product_124,Personal Care,16.61,No-Offer,"None, Eggs","Keto, Vegan",Low Stock,4.3,1,0,0,1,0,1,0,0,0,0,0,Very Good,6,4,1,4
Product_125,Meat,24.2,10% off,Milk,"Keto, Vegan",Out of Stock,3.4,1,0,0,1,0,0,1,0,0,0,0,Average,4,1,2,0
Product_126,Personal Care,12.41,10% off,Wheat,None,In Stock,4.5,0,0,0,0,1,0,0,0,1,0,0,Very Good,6,1,0,4
Product_127,Pantry,19.71,Buy 1 Get 1,No-Allergens,None,In Stock,3.0,0,0,0,0,1,0,0,0,0,0,1,Poor,5,2,0,3
Product_128,Bakery,4.27,Buy 1 Get 1,No-Allergens,None,In Stock,3.8,0,0,0,0,1,0,0,0,0,0,1,Good,0,2,0,2
Product_129,Beverages,10.9,No-Offer,No-Allergens,Gluten-Free,In Stock,3.6,0,1,0,0,0,0,0,0,0,0,1,Average,1,4,0,0
Product_130,Pantry,5.28,$2 off,No-Allergens,"Vegan, Keto",Low Stock,4.2,1,0,0,1,0,0,0,0,0,0,1,Good,5,0,1,2
Product_131,Meat,10.66,No-Offer,No-Allergens,None,In Stock,2.6,0,0,0,0,1,0,0,0,0,0,1,Poor,4,4,0,3
Product_132,Produce,12.13,Buy 1 Get 1,"Soy, Wheat",None,In Stock,3.4,0,0,0,0,1,0,0,0,1,1,0,Average,7,2,0,0
Product_133,Snacks,10.33,No-Offer,No-Allergens,None,Low Stock,2.9,0,0,0,0,1,0,0,0,0,0,1,Poor,9,4,1,3
Product_134,Bakery,24.55,Clearance,No-Allergens,Vegan,In Stock,2.9,0,0,0,1,0,0,0,0,0,0,1,Poor,0,3,0,3
Product_135,Pantry,16.43,$2 off,Wheat,None,In Stock,4.0,0,0,0,0,1,0,0,0,1,0,0,Good,5,0,0,2
Product_136,Beverages,23.27,Buy 1 Get 1,No-Allergens,None,Low Stock,3.5,0,0,0,0,1,0,0,0,0,0,1,Average,1,2,1,0
Product_137,Bakery,10.53,Buy 1 Get 1,"Soy, Nuts",Gluten-Free,In Stock,2.8,0,1,0,0,0,0,0,1,0,1,0,Poor,0,2,0,3
Product_138,Personal Care,19.31,Clearance,No-Allergens,None,In Stock,4.6,0,0,0,0,1,0,0,0,0,0,1,Very Good,6,3,0,4
Product_139,Personal Care,4.55,$2 off,Wheat,None,In Stock,4.2,0,0,0,0,1,0,0,0,1,0,0,Good,6,0,0,2
Product_140,Snacks,9.87,10% off,No-Allergens,None,In Stock,5.0,0,0,0,0,1,0,0,0,0,0,1,Excellent,9,1,0,1
Product_141,Seafood,7.08,No-Offer,No-Allergens,Gluten-Free,Low Stock,3.4,0,1,0,0,0,0,0,0,0,0,1,Average,8,4,1,0
Product_142,Snacks,22.12,No-Offer,No-Allergens,None,In Stock,4.4,0,0,0,0,1,0,0,0,0,0,1,Very Good,9,4,0,4
Product_143,Snacks,8.27,Clearance,"Milk, Nuts",None,In Stock,3.1,0,0,0,0,1,0,1,1,0,0,0,Average,9,3,0,0
Product_144,Meat,12.2,10% off,No-Allergens,None,In Stock,3.2,0,0,0,0,1,0,0,0,0,0,1,Average,4,1,0,0
Product_145,Bakery,20.21,$2 off,Nuts,None,In Stock,4.0,0,0,0,0,1,0,0,1,0,0,0,Good,0,0,0,2
Product_146,Pantry,19.46,Clearance,No-Allergens,None,In Stock,4.4,0,0,0,0,1,0,0,0,0,0,1,Very Good,5,3,0,4
Product_147,Snacks,5.21,Clearance,No-Allergens,None,In Stock,4.2,0,0,0,0,1,0,0,0,0,0,1,Good,9,3,0,2
Product_148,Dairy,6.15,10% off,No-Allergens,None,In Stock,2.7,0,0,0,0,1,0,0,0,0,0,1,Poor,2,1,0,3
Product_149,Frozen Foods,7.76,$2 off,No-Allergens,None,Low Stock,3.3,0,0,0,0,1,0,0,0,0,0,1,Average,3,0,1,0
Product_150,Beverages,22.41,Clearance,Eggs,None,In Stock,4.7,0,0,0,0,1,1,0,0,0,0,0,Excellent,1,3,0,1
Product_151,Meat,8.75,Buy 1 Get 1,No-Allergens,"Low Sugar, Gluten-Free",Low Stock,3.8,0,1,1,0,0,0,0,0,0,0,1,Good,4,2,1,2
Product_152,Frozen Foods,14.33,No-Offer,Nuts,None,In Stock,4.4,0,0,0,0,1,0,0,1,0,0,0,Very Good,3,4,0,4
Product_153,Dairy,5.68,Buy 1 Get 1,No-Allergens,None,In Stock,3.7,0,0,0,0,1,0,0,0,0,0,1,Good,2,2,0,2
Product_154,Seafood,1.07,Clearance,No-Allergens,None,In Stock,2.9,0,0,0,0,1,0,0,0,0,0,1,Poor,8,3,0,3
Product_155,Beverages,11.03,No-Offer,Soy,None,In Stock,4.1,0,0,0,0,1,0,0,0,0,1,0,Good,1,4,0,2
Product_156,Meat,8.37,10% off,No-Allergens,"Gluten-Free, Keto",In Stock,4.7,1,1,0,0,0,0,0,0,0,0,1,Excellent,4,1,0,1
Product_157,Snacks,12.51,$2 off,"Eggs, Nuts",Vegan,Low Stock,3.2,0,0,0,1,0,1,0,1,0,0,0,Average,9,0,1,0
Product_158,Pantry,17.81,Clearance,"Wheat, Eggs",None,Low Stock,4.1,0,0,0,0,1,1,0,0,1,0,0,Good,5,3,1,2
Product_159,Snacks,14.21,Clearance,No-Allergens,None,Low Stock,3.7,0,0,0,0,1,0,0,0,0,0,1,Good,9,3,1,2
Product_160,Frozen Foods,21.9,10% off,"Nuts, Wheat",None,In Stock,2.9,0,0,0,0,1,0,0,1,1,0,0,Poor,3,1,0,3
Product_161,Seafood,8.73,10% off,No-Allergens,None,Low Stock,4.6,0,0,0,0,1,0,0,0,0,0,1,Very Good,8,1,1,4
Product_162,Produce,24.64,$2 off,No-Allergens,None,In Stock,4.5,0,0,0,0,1,0,0,0,0,0,1,Very Good,7,0,0,4
Product_163,Personal Care,16.44,$2 off,No-Allergens,None,In Stock,3.4,0,0,0,0,1,0,0,0,0,0,1,Average,6,0,0,0
Product_164,Pantry,12.04,Clearance,No-Allergens,None,In Stock,4.7,0,0,0,0,1,0,0,0,0,0,1,Excellent,5,3,0,1
Product_165,Pantry,1.77,No-Offer,No-Allergens,None,Out of Stock,4.7,0,0,0,0,1,0,0,0,0,0,1,Excellent,5,4,2,1
Product_166,Pantry,9.52,No-Offer,No-Allergens,"Vegan, None",In Stock,4.1,0,0,0,1,1,0,0,0,0,0,1,Good,5,4,0,2
Product_167,Beverages,17.91,No-Offer,No-Allergens,None,In Stock,3.5,0,0,0,0,1,0,0,0,0,0,1,Average,1,4,0,0
Product_168,Meat,18.94,Buy 1 Get 1,No-Allergens,None,Low Stock,3.5,0,0,0,0,1,0,0,0,0,0,1,Average,4,2,1,0
Product_169,Pantry,20.3,No-Offer,Milk,"Low Sugar, Vegan",In Stock,2.8,0,0,1,1,0,0,1,0,0,0,0,Poor,5,4,0,3
Product_170,Pantry,3.93,$2 off,"Soy, Wheat","None, Low Sugar",In Stock,4.5,0,0,1,0,1,0,0,0,1,1,0,Very Good,5,0,0,4
Product_171,Snacks,5.02,Clearance,No-Allergens,"Vegan, None",In Stock,2.8,0,0,0,1,1,0,0,0,0,0,1,Poor,9,3,0,3
Product_172,Meat,13.25,$2 off,Milk,None,Low Stock,2.7,0,0,0,0,1,0,1,0,0,0,0,Poor,4,0,1,3
Product_173,Snacks,6.45,No-Offer,No-Allergens,None,In Stock,2.9,0,0,0,0,1,0,0,0,0,0,1,Poor,9,4,0,3
Product_174,Produce,17.35,$2 off,No-Allergens,None,In Stock,4.8,0,0,0,0,1,0,0,0,0,0,1,Excellent,7,0,0,1
Product_175,Dairy,22.47,Buy 1 Get 1,Soy,"None, Vegan",Low Stock,3.9,0,0,0,1,1,0,0,0,0,1,0,Good,2,2,1,2
Product_176,Frozen Foods,12.87,Clearance,Nuts,Keto,In Stock,4.4,1,0,0,0,0,0,0,1,0,0,0,Very Good,3,3,0,4
Product_177,Frozen Foods,8.1,$2 off,"Soy, Nuts","None, Gluten-Free",In Stock,2.9,0,1,0,0,1,0,0,1,0,1,0,Poor,3,0,0,3
Product_178,Meat,22.58,10% off,"Eggs, None",None,In Stock,4.2,0,0,0,0,1,1,0,0,0,0,0,Good,4,1,0,2
Product_179,Beverages,17.75,$2 off,No-Allergens,None,Low Stock,3.1,0,0,0,0,1,0,0,0,0,0,1,Average,1,0,1,0
Product_180,Produce,23.36,No-Offer,"Wheat, Milk",None,Low Stock,4.3,0,0,0,0,1,0,1,0,1,0,0,Very Good,7,4,1,4
Product_181,Seafood,13.17,No-Offer,No-Allergens,None,Out of Stock,3.8,0,0,0,0,1,0,0,0,0,0,1,Good,8,4,2,2
Product_182,Meat,23.42,Buy 1 Get 1,"None, Wheat",None,Low Stock,2.6,0,0,0,0,1,0,0,0,1,0,0,Poor,4,2,1,3
Product_183,Frozen Foods,18.49,$2 off,No-Allergens,None,Low Stock,3.9,0,0,0,0,1,0,0,0,0,0,1,Good,3,0,1,2
Product_184,Seafood,2.3,$2 off,No-Allergens,None,In Stock,4.1,0,0,0,0,1,0,0,0,0,0,1,Good,8,0,0,2
